id,fecha,hora,perturbacion_idx,perturbacion,condicion,temperatura,motivo_cierre,ciclos_simulados,sintesis_count,cluster_top_label,synthesis_chain,notas
5000,2026-03-24,19:52:55,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,low,0.1,llm_direct_low_temp,36,3,"La identidad se disuelve en la funcionalidad colectiva, persistiendo quizás solo","cy=12:La identidad individual, tradicionalment | cy=24:Si el reemplazo es total, la identidad i | cy=36:La exploración deriva hacia la naturalez",
5001,2026-03-24,19:53:01,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,low,0.1,llm_direct_low_temp,36,3,La identidad se transforma de una cualidad intrínseca del ser a una designación ,"cy=12:La identidad individual, entendida como  | cy=24:En un escenario donde el colectivo reemp | cy=36:La exploración lleva a la noción de que ",
5002,2026-03-24,19:53:07,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,low,0.1,llm_direct_low_temp,36,3,La identidad se manifiesta como un tejido complejo de lo singular y lo compartid,"cy=12:La identidad individual no se anula nece | cy=24:En ciertos contextos, la identidad colec | cy=36:La identidad se revela como un construct",
5003,2026-03-24,19:53:11,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,low,0.1,llm_direct_low_temp,36,3,La identidad se convierte en un espacio de negociación entre la experiencia pers,"cy=12:La identidad individual, definida por la | cy=24:La noción de ""reemplazo"" puede ser inter | cy=36:La exploración deriva hacia la naturalez",
5004,2026-03-24,19:53:17,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,low,0.1,llm_direct_low_temp,36,3,La identidad se convierte en la forma en que un individuo participa y se alinea ,"cy=12:La identidad individual, tradicionalment | cy=24:En un contexto de colectivismo, la ident | cy=36:La identidad se transforma en una negoci",
5005,2026-03-24,19:53:22,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,low,0.1,llm_direct_low_temp,36,3,"La identidad se revela como un fenómeno interdependiente, donde la noción de un ",cy=12:La tensión inicial reside en la posible  | cy=24:El pensamiento se expande hacia la idea  | cy=36:La exploración deriva hacia la noción de,
5006,2026-03-24,19:53:28,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,low,0.1,llm_direct_low_temp,36,3,"La identidad se convierte en una propiedad emergente de la conciencia colectiva,","cy=12:La identidad individual, entendida como  | cy=24:La identidad en un contexto de colectivi | cy=36:La exploración deriva hacia la posibilid",
5007,2026-03-24,19:53:33,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,low,0.1,llm_direct_low_temp,36,3,"La identidad se revela como un fenómeno dinámico, negociado entre la experiencia",cy=12:La tensión inicial reside en la posible  | cy=24:Se explora la dualidad del colectivo com | cy=36:El pensamiento deriva hacia la naturalez,
5008,2026-03-24,19:53:38,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,low,0.1,llm_direct_low_temp,36,3,La identidad se manifiesta como un espectro dinámico entre la singularidad perso,cy=12:La identidad individual puede ser tempor | cy=24:En contextos de fuerte cohesión grupal o | cy=36:La relación entre individuo y colectivo ,
5009,2026-03-24,19:53:44,1,¿Qué es la identidad cuando el colectivo reemplaza al individuo?,low,0.1,llm_direct_low_temp,36,3,"La identidad se manifiesta como un entramado dinámico de pertenencias, donde la ",cy=12:La identidad individual no es necesariam | cy=24:La influencia del colectivo en la identi | cy=36:La exploración lleva a la idea de que la,
